datetime,close,open,high,low,volume,openinterest,开仓价格,平仓价格开盘价格,平仓价格收盘价格,方向,差价1,差2,盈利1,盈利1,,开仓价格,平仓价格收盘价格,,方向,差价1,盈利1
2022/1/4,4925.6,4960,4966,4872.2,65395,3.085079403,,,,,,,,,,,,,,,
2022/1/5,4877,4919.6,4928.8,4855.2,73461,3.332723893,4877,4860.2,4818.2,1,-16.8,-58.8,-16.8,-16.8,,,,,,,
2022/1/6,4818.2,4860.2,4867.6,4787.2,67481,4.319007954,4818.2,4833.6,4829.6,1,15.4,11.4,15.4,15.4,,,,,,,
2022/1/7,4829.6,4833.6,4863.4,4825.4,58567,3.114838655,4829.6,4822,4845.6,1,-7.6,16,-7.6,-7.6,,,,,,,
2022/1/10,4845.6,4822,4857.6,4790.2,55271,10.00049484,4845.6,4841.6,4800.8,1,-4,-44.8,-4,-4,,,,,,,
2022/1/11,4800.8,4841.6,4858.6,4795.6,60829,0.555597129,4800.8,4822,4852.6,1,21.2,51.8,21.2,21.2,,,,,,,
2022/1/12,4852.6,4822,4869.6,4819,58829,11.01885681,4852.6,4863,4767.2,-1,10.4,-85.4,-10.4,10.4,,,,,,,
2022/1/13,4767.2,4863,4868.4,4767,66308,2.428654605,4767.2,4753.2,4723.6,1,-14,-43.6,-14,-14,,,,,,,
2022/1/14,4723.6,4753.2,4772.4,4720.6,58708,2.109759387,4723.6,4732,4763.6,1,8.4,40,8.4,8.4,,,,,,,
2022/1/17,4763.6,4732,4784,4730.2,53583,4.731203949,4763.6,4760,4812.2,1,-3.6,48.6,-3.6,-3.6,,,,,,,
2022/1/18,4812.2,4760,4831,4745.2,58610,7.493010034,4812.2,4818.2,4788.4,1,6,-23.8,6,6,,,,,,,
2022/1/19,4788.4,4818.2,4839.4,4761.6,55463,-1.989262821,4788.4,4784.4,4825,1,-4,36.6,-4,-4,,,,,,,
2022/1/20,4825,4784.4,4854.8,4784.4,45581,3.565457182,4825,4815,4775.6,-1,-10,-49.4,10,-10,,,,,,,
2022/1/21,4775.6,4815,4824,4761.6,19323,-0.900966733,4775.6,4785,4803.4,1,9.4,27.8,9.4,9.4,,,,,,,
2022/1/24,4803.4,4785,4817.8,4763.6,58320,8.938571988,4803.4,4780.4,4690.8,-1,-23,-112.6,23,-23,,,,,,,
2022/1/25,4690.8,4780.4,4794,4686.4,64532,3.878529917,4690.8,4716.4,4718.4,1,25.6,27.6,25.6,25.6,,,,,,,
2022/1/26,4718.4,4716.4,4727.6,4664.4,60134,7.367019153,4718.4,4707.4,4637.8,1,-11,-80.6,-11,-11,,,,,,,
2022/1/27,4637.8,4707.4,4709.8,4621,67742,6.375574291,4637.8,4666.8,4540.6,1,29,-97.2,29,29,,,,,,,
2022/1/28,4540.6,4666.8,4669,4524,75527,10.29670567,4540.6,4616.8,4627.2,1,76.2,86.6,76.2,76.2,,,,,,,
2022/2/7,4627.2,4616.8,4668.2,4608,56834,6.011478844,4627.2,4615.6,4607.2,1,-11.6,-20,-11.6,-11.6,,,,,,,
2022/2/8,4607.2,4615.6,4626.6,4518,65302,5.894721884,4607.2,4615.6,4648.4,1,8.4,41.2,8.4,8.4,,,,,,,
2022/2/9,4648.4,4615.6,4659,4594,57333,-2.457385295,4648.4,4656,4636.2,1,7.6,-12.2,7.6,7.6,,,,,,,
2022/2/10,4636.2,4656,4659.2,4611.2,50993,8.888077649,4636.2,4619.6,4595.2,-1,-16.6,-41,16.6,-16.6,,,,,,,
2022/2/11,4595.2,4619.6,4667.6,4595.2,64200,7.958150919,4595.2,4581,4552.6,1,-14.2,-42.6,-14.2,-14.2,,,,,,,
2022/2/14,4552.6,4581,4599.6,4530.6,56775,5.544714938,4552.6,4555.4,4591.2,1,2.8,38.6,2.8,2.8,,,,,,,
2022/2/15,4591.2,4555.4,4599.4,4549.6,51003,8.900615566,4591.2,4619,4612.4,1,27.8,21.2,27.8,27.8,,,,,,,
2022/2/16,4612.4,4619,4638.6,4602,40895,1.85245977,4612.4,4611,4623.8,1,-1.4,11.4,-1.4,-1.4,,,,,,,
2022/2/17,4623.8,4611,4652.6,4602.8,33686,-2.431486794,4623.8,4600,4648.8,-1,-23.8,25,23.8,-23.8,,,,,,,
2022/2/18,4648.8,4600,4651,4597.2,61863,-2.941428191,4648.8,4641.4,4627.4,-1,-7.4,-21.4,7.4,-7.4,,,,,,,
2022/2/21,4627.4,4641.4,4645,4605,62344,1.114513728,4627.4,4594.2,4569.4,-1,-33.2,-58,33.2,-33.2,,,,,,,
2022/2/22,4569.4,4594.2,4595,4540.6,74109,2.338953095,4569.4,4579,4617.2,-1,9.6,47.8,-9.6,9.6,,,,,,,
2022/2/23,4617.2,4579,4622,4572,59859,5.272241893,4617.2,4590,4534,1,-27.2,-83.2,-27.2,-27.2,,,,,,,
2022/2/24,4534,4590,4599.6,4492.4,91859,7.469382275,4534,4569,4572,1,35,38,35,35,,,,,,,
2022/2/25,4572,4569,4623,4560.6,79599,2.778999615,4572,4566,4574.4,1,-6,2.4,-6,-6,,,,,,,
2022/2/28,4574.4,4566,4580.6,4528,65865,4.098735508,4574.4,4600,4608.6,1,25.6,34.2,25.6,25.6,,,,,,,
2022/3/1,4608.6,4600,4621,4576.8,66397,0.096711474,4608.6,4586.6,4575,1,-22,-33.6,-22,-22,,,,,,,
2022/3/2,4575,4586.6,4590.2,4552,61056,4.600236323,4575,4599.4,4546.8,-1,24.4,-28.2,-24.4,24.4,,,,,,,
2022/3/3,4546.8,4599.4,4604.6,4535.8,60809,3.623338452,4546.8,4501.6,4499.4,1,-45.2,-47.4,-45.2,-45.2,,,,,,,
2022/3/4,4499.4,4501.6,4537,4482.2,72018,3.224307586,4499.4,4450.4,4339.4,1,-49,-160,-49,-49,,,,,,,
2022/3/7,4339.4,4450.4,4455.6,4324.2,81868,2.126437875,4339.4,4364.4,4237,1,25,-102.4,25,25,,,,,,,
2022/3/8,4237,4364.4,4375,4222.4,105026,3.985110131,4237,4266.2,4202,1,29.2,-35,29.2,29.2,,,,,,,
2022/3/9,4202,4266.2,4293.8,4025,123571,20.38623837,4202,4275.8,4266.4,1,73.8,64.4,73.8,73.8,,,,,,,
2022/3/10,4266.4,4275.8,4315,4260.4,83652,2.081396726,4266.4,4209,4311,1,-57.4,44.6,-57.4,-57.4,,,,,,,
2022/3/11,4311,4209,4317.4,4149,108112,20.54017022,4311,4248,4162.4,1,-63,-148.6,-63,-63,,,,,,,
2022/3/14,4162.4,4248,4270.6,4161,95216,5.097058008,4162.4,4110,3941.4,1,-52.4,-221,-52.4,-52.4,,,,,,,
2022/3/15,3941.4,4110,4162.8,3935.4,128984,-0.675809194,3941.4,4039.6,4152.2,1,98.2,210.8,98.2,98.2,,,,,,,
2022/3/16,4152.2,4039.6,4174.6,3939.6,121382,24.08459217,4152.2,4239.6,4234,-1,87.4,81.8,-87.4,87.4,,,,,,,
2022/3/17,4234,4239.6,4302,4208.8,68064,13.09497711,4234,4190,4232.6,1,-44,-1.4,-44,-44,,,,,,,
2022/3/18,4232.6,4190,4257.8,4169.2,95084,4.74368082,4232.6,4236.2,4215,1,3.6,-17.6,3.6,3.6,,,,,,,
2022/3/21,4215,4236.2,4247.2,4174,83968,-4.622943566,4215,4217,4213.2,1,2,-1.8,2,2,,,,,,,
2022/3/22,4213.2,4217,4260.2,4197.8,78783,2.714265695,4213.2,4235,4240.4,-1,21.8,27.2,-21.8,21.8,,,,,,,
